,Name,Rating,Number of Ratings,Longitude,Latitude,neighborhood,restaurant,meal_takeaway,meal_delivery,cafe,food,bakery,Weighted Rating
191,Mama Noura,4.3,23691.0,46.70188479999999,24.6916263,حي جرير,1,0,0,0,1,0,101871.3
192,Burger King - Al Quds,3.6,1707.0,46.740762,24.75733899999999,حي جرير,1,0,0,0,1,0,6145.2
193,Derati Restaurant,3.7,1331.0,46.58854249999999,24.6368753,حي جرير,1,0,0,0,1,0,4924.7
194,Kudu - Al Rayyan,3.8,1803.0,46.7889345,24.7092575,حي جرير,1,1,1,0,1,0,6851.4
195,Dominos,3.8,639.0,46.6240752,24.8105963,حي جرير,1,1,1,0,1,0,2428.2
196,Derati Restaurants & Kitchens,3.8,994.0,46.66901430000001,24.5881775,حي جرير,1,0,0,0,1,0,3777.2
197,Hardee's,3.3,827.0,46.6436339,24.6008518,حي جرير,1,0,0,0,1,0,2729.1
198,KFC,3.5,975.0,46.6441676,24.6004069,حي جرير,1,0,0,0,1,0,3412.5
199,Kudu - Al Malaz,3.9,1944.0,46.72442909999999,24.6663876,حي جرير,1,1,1,0,1,0,7581.599999999999
200,Mama Noura,4.1,11464.0,46.6653609,24.5717473,حي جرير,1,0,0,0,1,0,47002.399999999994
201,قصر الهند,3.8,6168.0,46.75289959999999,24.75744370000001,حي جرير,1,0,0,0,1,0,23438.399999999998
202,Herfy,3.8,1376.0,46.6983362,24.6940569,حي جرير,1,0,0,0,1,0,5228.8
203,Al Jalab Restaurant,4.3,1543.0,46.6870006,24.7337823,حي جرير,1,0,0,0,1,0,6634.9
204,Al Romansiah,4.1,8499.0,46.81412389999999,24.7587183,حي جرير,1,0,0,0,1,0,34845.899999999994
205,Al Nafoura Restaurant,3.3,1007.0,46.6251475,24.5884052,حي جرير,1,0,0,0,1,0,3323.1
206,Diet Center - دايت سنتر,4.1,74.0,46.784153,24.681048,حي جرير,1,0,0,0,1,0,303.4
207,KFC,3.6,1452.0,46.7923858,24.6840264,حي جرير,1,0,0,0,1,0,5227.2
208,Herfy,3.7,380.0,46.6575254,24.7559561,حي جرير,1,0,0,0,1,0,1406.0
209,Kudu - Al Seteen Palace,3.9,2399.0,46.7231741,24.6905735,حي جرير,1,1,1,0,1,0,9356.1
210,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.7,649.0,46.6625465,24.7579306,حي جرير,1,0,1,0,1,0,2401.3
211,Al Saudi Restaurant,3.9,4618.0,46.70311350000001,24.6957429,حي جرير,1,0,0,0,1,0,18010.2
212,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,790.0,46.63085969999999,24.5802744,حي جرير,1,0,1,0,1,0,3081.0
213,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,719.0,46.65586740000001,24.7247857,حي جرير,1,0,1,0,1,0,2804.1
