,Name,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood,Type_1,Type_2,Type_3,Type_4
63,Dining Hall,3.0,27.0,46.6196551,24.7209893,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
64,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
65,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
66,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",حي الربوة,bakery, restaurant, point_of_interest, store
67,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
68,KFC,3.7,2198.0,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
69,McDonald's,3.9,2735.0,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
70,Domino's Pizza,3.8,589.0,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,meal_delivery, meal_takeaway, restaurant, food
71,Mama Noura,4.3,23691.0,46.70188479999999,24.6916263,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
72,Burger King - Al Quds,3.6,1707.0,46.740762,24.75733899999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
73,Derati Restaurant,3.7,1331.0,46.58854249999999,24.6368753,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
74,Kudu - Al Rayyan,3.8,1803.0,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, meal_delivery, meal_takeaway, food
75,Dominos,3.8,639.0,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,meal_delivery, meal_takeaway, restaurant, food
76,Derati Restaurants & Kitchens,3.8,994.0,46.66901430000001,24.5881775,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
77,Hardee's,3.3,827.0,46.6436339,24.6008518,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
78,KFC,3.5,975.0,46.6441676,24.6004069,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
79,Kudu - Al Malaz,3.9,1944.0,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, meal_delivery, meal_takeaway, food
80,Mama Noura,4.1,11464.0,46.6653609,24.5717473,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
81,قصر الهند,3.8,6168.0,46.75289959999999,24.75744370000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
82,Herfy,3.8,1376.0,46.6983362,24.6940569,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
83,Al Jalab Restaurant,4.3,1543.0,46.6870006,24.7337823,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
84,Al Romansiah,4.1,8499.0,46.81412389999999,24.7587183,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
