,Name,Score,Category,Price_Range
1721,19. WAGYU,9.0,Burgers,$$
1722,20. Fuchsia,9.0,Armenian,$
1723,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1724,22. Burger Boutique,9.0,Burgers,$
1725,23. Aleppo,9.0,Middle Eastern,$
1726,1. The California Burger,9.4,Burgers,$
1727,2. LPM,9.3,French,$$$
1728,3. Myazū,9.3,Japanese,$$$$
1729,4. Boga Superfoods,9.2,Sandwich Spot,$
1730,5. Signor Sassi,9.2,Italian,$$
1731,6. BLANCA,9.2,Pizza,$
1732,7. Flour & Firewood,9.2,Bakery,$
1733,8. مقصف Muqsaf 90,9.2,Breakfast,$
1734,9. Fawal Alafrah,9.1,Breakfast,$
1735,10. FISHFACE,9.1,Poke Restaurant,$$
1736,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1737,12. San Carlo Cicchetti,9.1,Italian,$
1738,13. Urth Caffé,9.1,Café,$$
1739,14. BACO,9.1,Asian,$
1740,15. TRIESTE,9.1,Café,$$$$
1741,16. PORTERHOUSE,9.0,Steakhouse,$
1742,17. ‏Ajam Coffee,9.0,Café,$
1743,18. Urth caffé,9.0,Food Court,$$$
1744,19. WAGYU,9.0,Burgers,$$
1745,20. Fuchsia,9.0,Armenian,$
1746,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1747,22. Burger Boutique,9.0,Burgers,$
1748,23. Aleppo,9.0,Middle Eastern,$
1749,1. The California Burger,9.4,Burgers,$
1750,2. LPM,9.3,French,$$$
1751,3. Myazū,9.3,Japanese,$$$$
1752,4. Boga Superfoods,9.2,Sandwich Spot,$
1753,5. Signor Sassi,9.2,Italian,$$
1754,6. BLANCA,9.2,Pizza,$
1755,7. Flour & Firewood,9.2,Bakery,$
1756,8. مقصف Muqsaf 90,9.2,Breakfast,$
1757,9. Fawal Alafrah,9.1,Breakfast,$
1758,10. FISHFACE,9.1,Poke Restaurant,$$
1759,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1760,12. San Carlo Cicchetti,9.1,Italian,$
1761,13. Urth Caffé,9.1,Café,$$
1762,14. BACO,9.1,Asian,$
1763,15. TRIESTE,9.1,Café,$$$$
1764,16. PORTERHOUSE,9.0,Steakhouse,$
1765,17. ‏Ajam Coffee,9.0,Café,$
1766,18. Urth caffé,9.0,Food Court,$$$
1767,19. WAGYU,9.0,Burgers,$$
1768,20. Fuchsia,9.0,Armenian,$
1769,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1770,22. Burger Boutique,9.0,Burgers,$
1771,23. Aleppo,9.0,Middle Eastern,$
1772,1. The California Burger,9.4,Burgers,$
1773,2. LPM,9.3,French,$$$
1774,3. Myazū,9.3,Japanese,$$$$
1775,4. Boga Superfoods,9.2,Sandwich Spot,$
1776,5. Signor Sassi,9.2,Italian,$$
1777,6. BLANCA,9.2,Pizza,$
1778,7. Flour & Firewood,9.2,Bakery,$
1779,8. مقصف Muqsaf 90,9.2,Breakfast,$
1780,9. Fawal Alafrah,9.1,Breakfast,$
1781,10. FISHFACE,9.1,Poke Restaurant,$$
1782,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1783,12. San Carlo Cicchetti,9.1,Italian,$
1784,13. Urth Caffé,9.1,Café,$$
1785,14. BACO,9.1,Asian,$
1786,15. TRIESTE,9.1,Café,$$$$
1787,16. PORTERHOUSE,9.0,Steakhouse,$
1788,17. ‏Ajam Coffee,9.0,Café,$
1789,18. Urth caffé,9.0,Food Court,$$$
1790,19. WAGYU,9.0,Burgers,$$
1791,20. Fuchsia,9.0,Armenian,$
1792,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1793,22. Burger Boutique,9.0,Burgers,$
1794,23. Aleppo,9.0,Middle Eastern,$
1795,1. The California Burger,9.4,Burgers,$
1796,2. LPM,9.3,French,$$$
1797,3. Myazū,9.3,Japanese,$$$$
1798,4. Boga Superfoods,9.2,Sandwich Spot,$
1799,5. Signor Sassi,9.2,Italian,$$
1800,6. BLANCA,9.2,Pizza,$
1801,7. Flour & Firewood,9.2,Bakery,$
1802,8. مقصف Muqsaf 90,9.2,Breakfast,$
1803,9. Fawal Alafrah,9.1,Breakfast,$
1804,10. FISHFACE,9.1,Poke Restaurant,$$
1805,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1806,12. San Carlo Cicchetti,9.1,Italian,$
1807,13. Urth Caffé,9.1,Café,$$
1808,14. BACO,9.1,Asian,$
1809,15. TRIESTE,9.1,Café,$$$$
1810,16. PORTERHOUSE,9.0,Steakhouse,$
1811,17. ‏Ajam Coffee,9.0,Café,$
1812,18. Urth caffé,9.0,Food Court,$$$
1813,19. WAGYU,9.0,Burgers,$$
1814,20. Fuchsia,9.0,Armenian,$
1815,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1816,22. Burger Boutique,9.0,Burgers,$
1817,23. Aleppo,9.0,Middle Eastern,$
1818,1. The California Burger,9.4,Burgers,$
1819,2. LPM,9.3,French,$$$
1820,3. Myazū,9.3,Japanese,$$$$
1821,4. Boga Superfoods,9.2,Sandwich Spot,$
1822,5. Signor Sassi,9.2,Italian,$$
1823,6. BLANCA,9.2,Pizza,$
1824,7. Flour & Firewood,9.2,Bakery,$
1825,8. مقصف Muqsaf 90,9.2,Breakfast,$
1826,9. Fawal Alafrah,9.1,Breakfast,$
1827,10. FISHFACE,9.1,Poke Restaurant,$$
1828,11. LA RUSTICA Pizzeria,9.1,Pizza,$$
1829,12. San Carlo Cicchetti,9.1,Italian,$
1830,13. Urth Caffé,9.1,Café,$$
1831,14. BACO,9.1,Asian,$
1832,15. TRIESTE,9.1,Café,$$$$
1833,16. PORTERHOUSE,9.0,Steakhouse,$
1834,17. ‏Ajam Coffee,9.0,Café,$
1835,18. Urth caffé,9.0,Food Court,$$$
1836,19. WAGYU,9.0,Burgers,$$
1837,20. Fuchsia,9.0,Armenian,$
1838,21. Burj Al Hamam Bistro,9.0,Lebanese,$
1839,22. Burger Boutique,9.0,Burgers,$
