,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
542,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
543,16. Dunkin Donuts,9.0,Donuts,$,0,9
544,17. Dunkin' Donuts,9.0,Donuts,$,0,9
545,18. Dunkin Donuts,9.0,Donuts,$,0,9
546,1. ساين,9.6,Burgers,$,0,7
547,2. Al Hatab Bakery,9.5,Bakery,$,0,4
548,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
549,4. Urth Caffé,9.2,Café,$,0,8
550,5. BLANCA,9.2,Pizza,$$,1,23
551,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
552,7. ALBAIK,9.2,Fried Chicken,$,0,16
553,8. Offwhite Inn,9.2,Restaurant,$,0,25
554,9. Dunkin' Donuts,9.2,Donuts,$,0,9
555,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
556,11. dr.CAFE COFFEE,9.1,Café,$,0,8
557,12. La Casa Pasta,9.1,Italian,$,0,18
558,13. CLAY,9.1,Café,$,0,8
559,14. Boga,9.0,Sandwich Spot,$,0,27
560,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
561,16. Dunkin Donuts,9.0,Donuts,$,0,9
562,17. Dunkin' Donuts,9.0,Donuts,$,0,9
563,18. Dunkin Donuts,9.0,Donuts,$,0,9
564,1. ساين,9.6,Burgers,$,0,7
565,2. Al Hatab Bakery,9.5,Bakery,$,0,4
566,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
567,4. Urth Caffé,9.2,Café,$,0,8
568,5. BLANCA,9.2,Pizza,$$,1,23
569,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
570,7. ALBAIK,9.2,Fried Chicken,$,0,16
571,8. Offwhite Inn,9.2,Restaurant,$,0,25
572,9. Dunkin' Donuts,9.2,Donuts,$,0,9
573,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
574,11. dr.CAFE COFFEE,9.1,Café,$,0,8
575,12. La Casa Pasta,9.1,Italian,$,0,18
576,13. CLAY,9.1,Café,$,0,8
577,14. Boga,9.0,Sandwich Spot,$,0,27
578,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
579,16. Dunkin Donuts,9.0,Donuts,$,0,9
580,17. Dunkin' Donuts,9.0,Donuts,$,0,9
581,18. Dunkin Donuts,9.0,Donuts,$,0,9
582,1. ساين,9.6,Burgers,$,0,7
583,2. Al Hatab Bakery,9.5,Bakery,$,0,4
584,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
585,4. Urth Caffé,9.2,Café,$,0,8
586,5. BLANCA,9.2,Pizza,$$,1,23
587,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
588,7. ALBAIK,9.2,Fried Chicken,$,0,16
589,8. Offwhite Inn,9.2,Restaurant,$,0,25
590,9. Dunkin' Donuts,9.2,Donuts,$,0,9
591,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
592,11. dr.CAFE COFFEE,9.1,Café,$,0,8
593,12. La Casa Pasta,9.1,Italian,$,0,18
594,13. CLAY,9.1,Café,$,0,8
595,14. Boga,9.0,Sandwich Spot,$,0,27
596,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
597,16. Dunkin Donuts,9.0,Donuts,$,0,9
598,17. Dunkin' Donuts,9.0,Donuts,$,0,9
599,18. Dunkin Donuts,9.0,Donuts,$,0,9
600,1. ساين,9.6,Burgers,$,0,7
601,2. Al Hatab Bakery,9.5,Bakery,$,0,4
602,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
603,4. Urth Caffé,9.2,Café,$,0,8
604,5. BLANCA,9.2,Pizza,$$,1,23
605,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
606,7. ALBAIK,9.2,Fried Chicken,$,0,16
607,8. Offwhite Inn,9.2,Restaurant,$,0,25
608,9. Dunkin' Donuts,9.2,Donuts,$,0,9
609,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
610,11. dr.CAFE COFFEE,9.1,Café,$,0,8
611,12. La Casa Pasta,9.1,Italian,$,0,18
612,13. CLAY,9.1,Café,$,0,8
613,14. Boga,9.0,Sandwich Spot,$,0,27
614,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
615,16. Dunkin Donuts,9.0,Donuts,$,0,9
616,17. Dunkin' Donuts,9.0,Donuts,$,0,9
617,18. Dunkin Donuts,9.0,Donuts,$,0,9
618,1. ساين,9.6,Burgers,$,0,7
619,2. Al Hatab Bakery,9.5,Bakery,$,0,4
620,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
621,4. Urth Caffé,9.2,Café,$,0,8
622,5. BLANCA,9.2,Pizza,$$,1,23
623,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
624,7. ALBAIK,9.2,Fried Chicken,$,0,16
625,8. Offwhite Inn,9.2,Restaurant,$,0,25
626,9. Dunkin' Donuts,9.2,Donuts,$,0,9
627,10. Al Hatab Bakery,9.1,Bakery,$$,1,4
628,11. dr.CAFE COFFEE,9.1,Café,$,0,8
629,12. La Casa Pasta,9.1,Italian,$,0,18
630,13. CLAY,9.1,Café,$,0,8
631,14. Boga,9.0,Sandwich Spot,$,0,27
632,15. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
633,16. Dunkin Donuts,9.0,Donuts,$,0,9
634,17. Dunkin' Donuts,9.0,Donuts,$,0,9
635,18. Dunkin Donuts,9.0,Donuts,$,0,9
636,1. ساين,9.6,Burgers,$,0,7
637,2. Al Hatab Bakery,9.5,Bakery,$,0,4
638,3. Mama Noura,9.3,Shawarma Restaurant,$,0,29
639,4. Urth Caffé,9.2,Café,$,0,8
640,5. BLANCA,9.2,Pizza,$$,1,23
641,6. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
642,7. ALBAIK,9.2,Fried Chicken,$,0,16
