,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
554,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
555,24. Dunkin Dounts,9.0,Donuts,$,0,6
556,25. دانكن دونتس,9.0,Donuts,$,0,6
557,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
558,1. Knoll Coffee Roasters,9.6,Café,$,0,5
559,2. ساين,9.6,Burgers,$,0,4
560,3. Al Hatab Bakery,9.5,Bakery,$,0,2
561,4. Red Box,9.5,Restaurant,$,0,16
562,5. WHJ CAFE,9.3,Café,$,0,5
563,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
564,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
565,8. DIA BAKERY,9.3,Bakery,$,0,2
566,9. Urth Caffé,9.2,Café,$,0,5
567,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
568,11. BLANCA,9.2,Pizza,$,0,14
569,12. Armin,9.2,Eastern European,$,0,7
570,13. Dunkin' Donuts,9.2,Donuts,$,0,6
571,14. Al Hatab Bakery,9.1,Bakery,$,0,2
572,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
573,16. كبدون,9.1,Breakfast,$$,1,3
574,17. Spread,9.1,BBQ,$,0,1
575,18. La Casa Pasta,9.1,Italian,$,0,11
576,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
577,20. Al Hatab Bakery,9.1,Bakery,$,0,2
578,21. Dunkin' Donuts,9.1,Donuts,$,0,6
579,22. دوار السعادة,9.1,Breakfast,$,0,3
580,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
581,24. Dunkin Dounts,9.0,Donuts,$,0,6
582,25. دانكن دونتس,9.0,Donuts,$,0,6
583,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
584,1. Knoll Coffee Roasters,9.6,Café,$,0,5
585,2. ساين,9.6,Burgers,$,0,4
586,3. Al Hatab Bakery,9.5,Bakery,$,0,2
587,4. Red Box,9.5,Restaurant,$,0,16
588,5. WHJ CAFE,9.3,Café,$,0,5
589,6. Al Afrah Restaurant,9.3,Breakfast,$,0,3
590,7. Mama Noura,9.3,Shawarma Restaurant,$,0,19
591,8. DIA BAKERY,9.3,Bakery,$,0,2
592,9. Urth Caffé,9.2,Café,$,0,5
593,10. Al Hatab Bakery,9.2,Bakery,$$,1,2
594,11. BLANCA,9.2,Pizza,$,0,14
595,12. Armin,9.2,Eastern European,$,0,7
596,13. Dunkin' Donuts,9.2,Donuts,$,0,6
597,14. Al Hatab Bakery,9.1,Bakery,$,0,2
598,15. dr.CAFE COFFEE,9.1,Café,$$,1,5
599,16. كبدون,9.1,Breakfast,$$,1,3
600,17. Spread,9.1,BBQ,$,0,1
601,18. La Casa Pasta,9.1,Italian,$,0,11
602,19. Mama Noura,9.1,Shawarma Restaurant,$,0,19
603,20. Al Hatab Bakery,9.1,Bakery,$,0,2
604,21. Dunkin' Donuts,9.1,Donuts,$,0,6
605,22. دوار السعادة,9.1,Breakfast,$,0,3
606,23. Mama Noura,9.0,Shawarma Restaurant,$,0,19
607,24. Dunkin Dounts,9.0,Donuts,$,0,6
608,25. دانكن دونتس,9.0,Donuts,$,0,6
609,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,2
610,1. Coffee Maliha,9.4,Café,$,0,5
611,2. ساين,9.4,Burgers,$,0,4
612,3. محمصة اليوم الثامن,9.4,Café,$,0,5
613,4. Less Is More,9.3,Café,$,0,5
614,5. Saheel Cafe,9.2,Café,$,0,5
615,6. Al Hatab Bakery,9.2,Bakery,$,0,2
616,7. TUL CAFE,9.2,Café,$,0,5
617,8. خُوصَة,9.2,Café,$,0,5
618,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
619,10. البيك,9.2,Fried Chicken,$,0,10
620,11. Deers Cafe,9.2,Café,$,0,5
621,12. المذاق المغربي,9.1,Café,$,0,5
622,13. مطعم خندلة,9.1,Turkish,$$,1,22
623,14. Maqloba,9.0,Restaurant,$,0,16
624,15. Albaik,9.0,Fried Chicken,$,0,10
625,16. مضغوط تهامة,9.0,Fried Chicken,$$,1,10
626,1. Coffee Maliha,9.4,Café,$,0,5
627,2. ساين,9.4,Burgers,$,0,4
628,3. محمصة اليوم الثامن,9.4,Café,$,0,5
629,4. Less Is More,9.3,Café,$,0,5
630,5. Saheel Cafe,9.2,Café,$,0,5
631,6. Al Hatab Bakery,9.2,Bakery,$,0,2
632,7. TUL CAFE,9.2,Café,$,0,5
633,8. خُوصَة,9.2,Café,$,0,5
634,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
635,10. البيك,9.2,Fried Chicken,$,0,10
636,11. Deers Cafe,9.2,Café,$,0,5
637,12. المذاق المغربي,9.1,Café,$,0,5
638,13. مطعم خندلة,9.1,Turkish,$$,1,22
639,14. Maqloba,9.0,Restaurant,$,0,16
640,15. Albaik,9.0,Fried Chicken,$,0,10
641,16. مضغوط تهامة,9.0,Fried Chicken,$$,1,10
642,1. Coffee Maliha,9.4,Café,$,0,5
643,2. ساين,9.4,Burgers,$,0,4
644,3. محمصة اليوم الثامن,9.4,Café,$,0,5
645,4. Less Is More,9.3,Café,$,0,5
646,5. Saheel Cafe,9.2,Café,$,0,5
647,6. Al Hatab Bakery,9.2,Bakery,$,0,2
648,7. TUL CAFE,9.2,Café,$,0,5
649,8. خُوصَة,9.2,Café,$,0,5
650,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
651,10. البيك,9.2,Fried Chicken,$,0,10
652,11. Deers Cafe,9.2,Café,$,0,5
653,12. المذاق المغربي,9.1,Café,$,0,5
654,13. مطعم خندلة,9.1,Turkish,$$,1,22
655,14. Maqloba,9.0,Restaurant,$,0,16
656,15. Albaik,9.0,Fried Chicken,$,0,10
657,16. مضغوط تهامة,9.0,Fried Chicken,$$,1,10
658,1. Coffee Maliha,9.4,Café,$,0,5
659,2. ساين,9.4,Burgers,$,0,4
660,3. محمصة اليوم الثامن,9.4,Café,$,0,5
661,4. Less Is More,9.3,Café,$,0,5
662,5. Saheel Cafe,9.2,Café,$,0,5
663,6. Al Hatab Bakery,9.2,Bakery,$,0,2
664,7. TUL CAFE,9.2,Café,$,0,5
665,8. خُوصَة,9.2,Café,$,0,5
666,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$,1,13
667,10. البيك,9.2,Fried Chicken,$,0,10
668,11. Deers Cafe,9.2,Café,$,0,5
669,12. المذاق المغربي,9.1,Café,$,0,5
670,13. مطعم خندلة,9.1,Turkish,$$,1,22
671,14. Maqloba,9.0,Restaurant,$,0,16
672,15. Albaik,9.0,Fried Chicken,$,0,10
