,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types
95,KFC,9200 21111,3.6,1311,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']"
96,TOKYO,9200 09662,4.3,7203,46.68670509999999,24.7181459,"['restaurant', 'food', 'point_of_interest', 'establishment']"
97,Al Romansiah,9200 00144,4.2,9584,46.7069578,24.5620929,"['restaurant', 'food', 'point_of_interest', 'establishment']"
98,Sheikh Al-Mandi Restaurant,011 464 4099,3.5,2022,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']"
99,Al Romansiah,9200 00144,4.1,8499,46.81412389999999,24.7587183,"['restaurant', 'food', 'point_of_interest', 'establishment']"
100,Kudu - Al Wurud,9200 06999,4.0,1024,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
101,برجر كاسل,011 281 8775,4.1,1057,46.6345087,24.714561,"['restaurant', 'point_of_interest', 'food', 'establishment']"
102,Herfy,9200 01111,3.8,896,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']"
103,Al Tazaj,9200 00765,3.6,4796,46.6443952,24.6002206,"['restaurant', 'point_of_interest', 'food', 'establishment']"
104,وايت قاردن,011 462 7799,4.2,4534,46.6836945,24.6943084,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']"
105,McDonald's,800 121 2345,3.7,2042,46.640038,24.598766,"['restaurant', 'point_of_interest', 'food', 'establishment']"
106,Subway,,3.7,452,46.7834343,24.7289012,"['restaurant', 'food', 'point_of_interest', 'establishment']"
107,Subway,,3.8,341,46.65607869999999,24.608878,"['restaurant', 'point_of_interest', 'food', 'establishment']"
108,KFC,9200 21111,3.8,1219,46.6889225,24.62540690000001,"['restaurant', 'food', 'point_of_interest', 'establishment']"
109,Herfy,9200 01111,3.5,746,46.675,24.6755556,"['restaurant', 'food', 'point_of_interest', 'establishment']"
110,McDonald's,800 121 2345,3.9,3568,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']"
111,KFC,9200 21111,3.4,1705,46.61225279999999,24.5724179,"['restaurant', 'food', 'point_of_interest', 'establishment']"
112,Al-Tazaj,9200 00765,3.9,3797,46.5097818,24.5548875,"['restaurant', 'point_of_interest', 'food', 'establishment']"
113,KFC,9200 21111,3.8,2246,46.6647609,24.7045778,"['restaurant', 'food', 'point_of_interest', 'establishment']"
114,Al Romansiah,9200 00144,4.2,9460,46.792399,24.695811,"['restaurant', 'food', 'point_of_interest', 'establishment']"
115,Herfy,9200 01111,3.6,1244,46.7824895,24.6680854,"['restaurant', 'point_of_interest', 'food', 'establishment']"
116,KFC,9200 21111,3.5,1825,46.76440969999999,24.7327532,"['restaurant', 'food', 'point_of_interest', 'establishment']"
117,Shawarmer | شاورمر,9200 08080,3.9,1911,46.6338494,24.7133267,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
118,Herfy,9200 01111,3.9,628,46.6931508,24.6399265,"['restaurant', 'point_of_interest', 'food', 'establishment']"
119,Burger King - Rawdah,,3.7,1370,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']"
120,فندق ميرا,9200 08155,3.7,1336,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
121,مركز ماي كار لصيانة السيارات الاوروبية,,3.5,2755,46.5764369,24.85175139999999,"['restaurant', 'point_of_interest', 'food', 'establishment']"
122,Luthan Hotel and Spa,011 480 7799,4.0,423,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']"
123,Dining Hall,011 467 5591,3.0,27,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']"
124,Sushi Yoshi,011 812 0055,4.0,1721,46.7061255,24.7048211,"['restaurant', 'point_of_interest', 'food', 'establishment']"
125,Wooden Bakery,050 133 8321,4.3,10550,46.7226815,24.6941192,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
126,Najd Village,9200 33511,3.9,11310,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']"
127,Najd Village,9200 33511,3.8,8468,46.66923329999999,24.6976883,"['restaurant', 'point_of_interest', 'food', 'establishment']"
128,KFC,9200 21111,3.7,2198,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
129,McDonald's,800 121 2345,3.9,2735,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']"
130,Domino's Pizza,9200 12345,3.8,589,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
131,Mama Noura,9200 12026,4.3,23691,46.70188479999999,24.6916263,"['restaurant', 'food', 'point_of_interest', 'establishment']"
132,Burger King - Al Quds,,3.6,1707,46.740762,24.75733899999999,"['restaurant', 'point_of_interest', 'food', 'establishment']"
133,Derati Restaurant,011 202 0203,3.7,1331,46.58854249999999,24.6368753,"['restaurant', 'food', 'point_of_interest', 'establishment']"
