,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
98,Pigeons Time,055 573 4828,4.0,963.0,46.5586793,24.6383518,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
99,McDonald's,800 121 2345,3.7,4198.0,46.56466,24.631477,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
100,Jan Burger - جان برجر‎,800 124 5600,3.7,955.0,46.56467000000001,24.632401,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
101,abu jbara restaurant,055 478 9090,4.0,2630.0,46.5648429,24.6325413,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
102,مطافي وجبات سريعة,011 436 6694,3.9,292.0,46.5863721,24.5969531,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
103,Hamburgini هامبرغيني - Dhahrat Laban,,3.9,1484.0,46.5657878,24.6323112,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
104,KFC,9200 21111,3.4,1776.0,46.5663484,24.6326132,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
105,Romansiah,9200 00144,4.4,12217.0,46.5683016,24.6347791,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
106,Golden Salamon Restaurant,011 432 4259,3.6,2016.0,46.6050754,24.5758887,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
107,Herfy,011 415 7971,3.6,216.0,46.62825859999999,24.4964041,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
108,Indian Valley Restaurant,011 436 3198,3.6,1465.0,46.613558,24.5703014,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
109,Cheese Restaurant,055 430 3368,3.9,888.0,46.6136233,24.5787268,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
110,Herfy,9200 01111,3.7,1427.0,46.61903469999999,24.5692395,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
111,McDonald's,800 121 2345,3.8,3377.0,46.618454,24.569785,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
112,Maestro Pizza,9200 17777,4.1,641.0,46.61384040000001,24.5825227,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
113,Jan Burger - جان برجر‎,800 124 5600,3.7,853.0,46.61426700000001,24.582688,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
114,Domino's Pizza,9200 12345,3.9,896.0,46.5757043,24.6534047,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
115,توم توم | TOM TOM,011 247 0597,3.8,278.0,46.62239729999999,24.5675952,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
116,Maestro Pizza,9200 17777,3.9,734.0,46.6230025,24.567418,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الأندلس
117,Hamburgini هامبرغيني - As Suwaidi Al Gharabi,,3.8,994.0,46.623349,24.5671739,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
118,Pizzaratti AlSuwaidi,800 124 6003,4.1,845.0,46.6233845,24.5671361,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
119,Domino's Pizza,9200 12345,3.8,547.0,46.6252652,24.5663525,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الأندلس
120,Maestro Pizza,9200 17777,4.0,444.0,44.4074628,24.51445229999999,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
121,Kudu - Duwadimi,9200 06999,3.7,682.0,44.4107185,24.5163394,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي القدس
122,McDonald's,800 121 2345,3.6,1467.0,44.396131,24.507663,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
123,Domino's Pizza,9200 12345,4.0,369.0,44.4240438,24.5258778,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
124,KFC,9200 21111,3.4,677.0,44.43074920000001,24.5335248,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
125,Subway,9200 12782,3.9,294.0,44.4442185,24.5449246,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
126,تشيكن فرايز فود ترك,056 074 8511,5.0,4.0,44.40689580000001,24.51358179999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
127,فوال الطائف,011 642 2230,3.8,397.0,44.4079858,24.5146332,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
128,مطعم أحمد,050 327 8202,4.1,8.0,44.4079506,24.5146344,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
129,ألذ كنافه,055 508 7353,4.2,24.0,44.4079139,24.5146309,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
130,شاورما عالفحم,050 090 7840,3.6,46.0,44.40791850000001,24.5146368,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
131,لقيمات ماجد,058 076 3196,3.7,26.0,44.40767049999999,24.5145376,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
132,قصر العصيرات,050 839 1176,3.9,97.0,44.40905099999999,24.5152988,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
133,مذاق الحمام,055 277 5871,3.7,172.0,44.40418589999999,24.5128306,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
134,Fit bit مطعم,055 313 3836,5.0,14.0,44.4070967,24.5188511,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
135,"بوفيه الهناء "" يقدم مطبق""",055 919 1653,4.2,25.0,44.4026549,24.5164335,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
136,مطعم لذيذ وشواية لتقديم الوجبات,053 640 8950,5.0,3.0,44.4087533,24.5198008,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
137,بوفيه ارض الجنتين,,4.0,4.0,44.4018909,24.5159241,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
138,مطعم زواية البيت المندي,,,,44.4094092,24.5201048,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
139,بوفيهات المثالي,054 295 5718,3.8,13.0,44.4011168,24.5150362,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
140,برقر كارني,053 572 2656,5.0,7.0,44.4020421,24.5065108,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي القدس
141,توت نجد للخضار والفواكه,050 511 5922,5.0,9.0,44.4017636,24.5063442,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
142,watani restaurant,011 644 1666,4.0,986.0,44.3994148,24.5101724,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
143,عصيرات جنه الفواكه,,5.0,1.0,44.3993384,24.5101268,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
144,مطعم اطايب النخيل الدوادمي,055 939 2882,,,44.4182424,24.5167443,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
145,مطعم كبده تمام,055 247 4470,3.0,2.0,44.4182424,24.5167443,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي القدس
