,Name,Contact Information,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood
151,McDonald's Mohi El Dein St.,02 21600377,4.2,4942.0,31.2006964,30.04246839999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
152,Dosh,,3.3,17.0,31.3212872,30.0735095,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
153,Pizza Hut,,4.1,918.0,31.215769,30.0653808,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
154,Casper & Gambini's,02 24802410,4.1,296.0,31.3470699,30.0731691,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
155,KFC,0219019,3.4,596.0,31.2741875,30.0631875,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
156,Paradise Stationery,02 23638703,4.0,2.0,31.2329604,30.0291289,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
157,Cilantro Nasr,012 76666318,4.3,2143.0,31.28497509999999,29.9762591,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
158,Abou Bakr El Seedeq,,4.1,30.0,31.261463,30.10219249999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
159,Cook Door,02 24681912,3.9,908.0,31.35578510000001,30.0449269,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
160,Auto Market,010 03419086,4.1,253.0,31.19540220000001,30.0471017,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",حي الورود
161,Safo,011 58470688,4.3,190.0,31.2035835,30.03883999999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
162,man'oucheh,02 37623575,4.1,441.0,31.2040964,30.0541295,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
163,Amir Eldomiaty - Al Manyal امير الدمياطي فرع المنيل,011 10128836,4.3,1115.0,31.2258448,30.02086480000001,"['meal_delivery', 'meal_takeaway', 'bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",حي الورود
164,Seasons Country Club,010 03424226,4.5,1513.0,31.105759,30.013886,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
165,Solaimaneyah Golf Restaurant,02 39102000,3.8,23.0,30.8376316,30.1539719,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
166,الصحابة,010 99983332,4.1,69.0,31.1435752,29.9923079,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
167,SAIGON RESTAURANT & LOUNGE,02 24619494,4.7,671.0,31.2279093,30.072149,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
168,Hardee's,,4.0,229.0,31.227537,30.069439,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الورود
169,Lasera,,4.1,545.0,31.1583856,29.9959284,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الورود
